,Company name,Symbol,Stock price (USD),Sector,Industry,Market
694,"Pershing Square Tontine Holdings, Ltd.",PSTH,$19.72,Finance,Financial Conglomerates,NYSE
695,Phillips 66,PSX,$81.43,Energy Minerals,Oil Refining/Marketing,NYSE
696,Patterson-UTI Energy,PTEN,$9.51,Industrial Services,Contract Drilling,NASDAQ
697,Peloton Interactive,PTON,$84.03,Consumer Services,Other Consumer Services,NASDAQ
698,Proterra,PTRA,$9.57,Finance,Financial Conglomerates,NASDAQ
699,Quanta Services,PWR,$112.56,Industrial Services,Engineering & Construction,NYSE
700,Pioneer Natural Resources,PXD,$190.78,Energy Minerals,Oil & Gas Production,NYSE
701,PayPal,PYPL,$266.47,Technology Services,Data Processing Services,NASDAQ
702,Qualcomm,QCOM,$129.55,Electronic Technology,Telecommunications Equipment,NASDAQ
703,Qudian,QD,$1.58,Technology Services,Internet Software/Services,NYSE
704,Qualys,QLYS,$115.07,Technology Services,Packaged Software,NASDAQ
705,Qurate Retail,QRTEA,$10.06,Retail Trade,Internet Retail,NASDAQ
706,QuantumScape,QS,$24.15,Producer Manufacturing,Electrical Products,NYSE
707,Restaurant Brands International,QSR,$61.02,Consumer Services,Restaurants,NYSE
708,Q2 Holdings,QTWO,$80.90,Technology Services,Information Technology Services,NYSE
709,Ferrari,RACE,$221.47,Consumer Durables,Motor Vehicles,NYSE
710,Rite Aid,RAD,$13.71,Retail Trade,Drugstore Chains,NYSE
711,Roblox,RBLX,$76.48,Technology Services,Packaged Software,NYSE
712,Royal Caribbean Cruises,RCL,$85.77,Consumer Services,Hotels/Resorts/Cruise lines,NYSE
713,Redfin Corporation,RDFN,$49.59,Finance,Real Estate Development,NASDAQ
714,Royal Dutch Shell – Class A Shares,RDS.A,$48.69,Energy Minerals,Integrated Oil,NYSE
715,RealReal,REAL,$11.99,Retail Trade,Internet Retail,NASDAQ
716,Renewable Energy Group,REGI,$52.45,Process Industries,Chemicals: Specialty,NASDAQ
717,Regeneron Pharmaceuticals,REGN,$543.22,Health Technology,Biotechnology,NASDAQ
718,RPC,RES,$5.62,Industrial Services,Oilfield Services/Equipment,NYSE
719,Regions Financial,RF,$22.71,Finance,Major Banks,NYSE
720,Restoration Hardware Holdings,RH,$687.11,Retail Trade,Specialty Stores,NYSE
721,Rio Tinto,RIO,$69.95,Non-Energy Minerals,Other Metals/Minerals,NYSE
722,Riot Blockchain,RIOT,$30.15,Finance,Financial Conglomerates,NASDAQ
723,Rocket Lab,RKLB,$12.41,Finance,Financial Conglomerates,NASDAQ
724,Rocket Companies,RKT,$16.65,Finance,Finance/Rental/Leasing,NYSE
725,Ralph Lauren,RL,$118.45,Retail Trade,Apparel/Footwear Retail,NYSE
726,Realogy Holdings,RLGY,$20.05,Finance,Real Estate Development,NYSE
727,ResMed,RMD,$253.11,Health Technology,Medical Specialties,NYSE
728,RingCentral,RNG,$237.00,Technology Services,Packaged Software,NYSE
729,Rockwell Automation,ROK,$313.73,Producer Manufacturing,Electrical Products,NYSE
730,Roku,ROKU,$330.70,Consumer Durables,Electronics/Appliances,NASDAQ
731,Root Inc,ROOT,$5.02,Finance,Insurance Brokers/Services,NASDAQ
732,Ross Stores,ROST,$108.20,Retail Trade,Apparel/Footwear Retail,NASDAQ
733,Rapid7,RPD,$121.69,Technology Services,Information Technology Services,NASDAQ
734,Range Resources Corporation,RRC,$24.38,Energy Minerals,Oil & Gas Production,NYSE
735,Republic Services,RSG,$127.73,Industrial Services,Environmental Services,NYSE
736,Raytheon Technologies Corporation,RTX,$90.15,Electronic Technology,Aerospace & Defense,NYSE
737,Sunrun,RUN,$48.41,Utilities,Alternative Power Generation,NASDAQ
738,Rackspace Technology,RXT,$14.70,Technology Services,Data Processing Services,NASDAQ
739,Royal Bank of Canada,RY,$105.90,Finance,Major Banks,NYSE
740,Spirit Airlines,SAVE,$23.64,Transportation,Airlines,NYSE
741,Sally Beauty,SBH,$16.05,Retail Trade,Specialty Stores,NYSE
742,Companhia de Saneamento Basico,SBS,$7.01,Utilities,Water Utilities,NYSE
743,Sibanye-Stillwater,SBSW,$15.09,Non-Energy Minerals,Precious Metals,NYSE
744,Starbucks,SBUX,$112.72,Consumer Services,Restaurants,NASDAQ
745,Southern Copper,SCCO,$65.07,Non-Energy Minerals,Other Metals/Minerals,NYSE
